PHP Load Test Started
Concurrent Users: 100
Total Requests: 5000

Round 2 | User #85 | HTTP: 200 | Time: 138.33ms
Round 2 | User #86 | HTTP: 200 | Time: 138.5ms
Round 2 | User #87 | HTTP: 200 | Time: 138.66ms
Round 2 | User #88 | HTTP: 200 | Time: 138.85ms
Round 2 | User #89 | HTTP: 200 | Time: 139ms
Round 2 | User #90 | HTTP: 200 | Time: 139.14ms
Round 2 | User #91 | HTTP: 200 | Time: 139.3ms
Round 2 | User #92 | HTTP: 200 | Time: 139.48ms
Round 2 | User #93 | HTTP: 200 | Time: 139.65ms
Round 2 | User #94 | HTTP: 200 | Time: 139.81ms
Round 2 | User #95 | HTTP: 200 | Time: 139.98ms
Round 2 | User #96 | HTTP: 200 | Time: 140.14ms
Round 2 | User #97 | HTTP: 200 | Time: 140.28ms
Round 2 | User #98 | HTTP: 200 | Time: 140.51ms
Round 2 | User #99 | HTTP: 200 | Time: 140.73ms
Round 2 | User #100 | HTTP: 200 | Time: 140.91ms
Round 3 | User #1 | HTTP: 200 | Time: 112.79ms
Round 3 | User #2 | HTTP: 200 | Time: 113.04ms
Round 3 | User #3 | HTTP: 200 | Time: 113.26ms
Round 3 | User #4 | HTTP: 200 | Time: 113.44ms
Round 3 | User #5 | HTTP: 200 | Time: 113.6ms
Round 3 | User #6 | HTTP: 200 | Time: 113.75ms
Round 3 | User #7 | HTTP: 200 | Time: 113.9ms
Round 3 | User #8 | HTTP: 200 | Time: 114.05ms
Round 3 | User #9 | HTTP: 200 | Time: 114.25ms
Round 3 | User #10 | HTTP: 200 | Time: 114.44ms
Round 3 | User #11 | HTTP: 200 | Time: 114.63ms
Round 3 | User #12 | HTTP: 200 | Time: 114.81ms
Round 3 | User #13 | HTTP: 200 | Time: 114.97ms
Round 3 | User #14 | HTTP: 200 | Time: 115.17ms
Round 3 | User #15 | HTTP: 200 | Time: 115.33ms
Round 3 | User #16 | HTTP: 200 | Time: 115.47ms
Round 3 | User #17 | HTTP: 200 | Time: 115.66ms
Round 3 | User #18 | HTTP: 200 | Time: 115.94ms
Round 3 | User #19 | HTTP: 200 | Time: 116.12ms
Round 3 | User #20 | HTTP: 200 | Time: 116.31ms
Round 3 | User #21 | HTTP: 200 | Time: 116.52ms
Round 3 | User #22 | HTTP: 200 | Time: 116.71ms
Round 3 | User #23 | HTTP: 200 | Time: 116.86ms
Round 3 | User #24 | HTTP: 200 | Time: 117.06ms
Round 3 | User #25 | HTTP: 200 | Time: 117.29ms
Round 3 | User #26 | HTTP: 200 | Time: 117.47ms
Round 3 | User #27 | HTTP: 200 | Time: 117.66ms
Round 3 | User #28 | HTTP: 200 | Time: 117.82ms
Round 3 | User #29 | HTTP: 200 | Time: 117.96ms
Round 3 | User #30 | HTTP: 200 | Time: 118.13ms
Round 3 | User #31 | HTTP: 200 | Time: 118.31ms
Round 3 | User #32 | HTTP: 200 | Time: 118.47ms
Round 3 | User #33 | HTTP: 200 | Time: 118.67ms
Round 3 | User #34 | HTTP: 200 | Time: 118.88ms
Round 3 | User #35 | HTTP: 200 | Time: 119.07ms
Round 3 | User #36 | HTTP: 200 | Time: 119.23ms
Round 3 | User #37 | HTTP: 200 | Time: 119.35ms
Round 3 | User #38 | HTTP: 200 | Time: 119.5ms
Round 3 | User #39 | HTTP: 200 | Time: 119.64ms
Round 3 | User #40 | HTTP: 200 | Time: 119.81ms
Round 3 | User #41 | HTTP: 200 | Time: 119.95ms
Round 3 | User #42 | HTTP: 200 | Time: 120.09ms
Round 3 | User #43 | HTTP: 200 | Time: 120.24ms
Round 3 | User #44 | HTTP: 200 | Time: 120.38ms
Round 3 | User #45 | HTTP: 200 | Time: 120.53ms
Round 3 | User #46 | HTTP: 200 | Time: 120.68ms
Round 3 | User #47 | HTTP: 200 | Time: 120.81ms
Round 3 | User #48 | HTTP: 200 | Time: 120.95ms
Round 3 | User #49 | HTTP: 200 | Time: 121.12ms
Round 3 | User #50 | HTTP: 200 | Time: 121.26ms
Round 3 | User #51 | HTTP: 200 | Time: 121.42ms
Round 3 | User #52 | HTTP: 200 | Time: 121.59ms
Round 3 | User #53 | HTTP: 200 | Time: 121.72ms
Round 3 | User #54 | HTTP: 200 | Time: 121.89ms
Round 3 | User #55 | HTTP: 200 | Time: 122.03ms
Round 3 | User #56 | HTTP: 200 | Time: 122.18ms
Round 3 | User #57 | HTTP: 200 | Time: 122.34ms
Round 3 | User #58 | HTTP: 200 | Time: 122.5ms
Round 3 | User #59 | HTTP: 200 | Time: 122.63ms
Round 3 | User #60 | HTTP: 200 | Time: 122.81ms
Round 3 | User #61 | HTTP: 200 | Time: 122.99ms
Round 3 | User #62 | HTTP: 200 | Time: 123.13ms
Round 3 | User #63 | HTTP: 200 | Time: 123.27ms
Round 3 | User #64 | HTTP: 200 | Time: 123.4ms
Round 3 | User #65 | HTTP: 200 | Time: 123.54ms
Round 3 | User #66 | HTTP: 200 | Time: 123.68ms
Round 3 | User #67 | HTTP: 200 | Time: 123.81ms
Round 3 | User #68 | HTTP: 200 | Time: 123.96ms
Round 3 | User #69 | HTTP: 200 | Time: 124.12ms
Round 3 | User #70 | HTTP: 200 | Time: 124.36ms
Round 3 | User #71 | HTTP: 200 | Time: 124.58ms
Round 3 | User #72 | HTTP: 200 | Time: 124.77ms
Round 3 | User #73 | HTTP: 200 | Time: 124.96ms
Round 3 | User #74 | HTTP: 200 | Time: 125.09ms
Round 3 | User #75 | HTTP: 200 | Time: 125.28ms
Round 3 | User #76 | HTTP: 200 | Time: 125.43ms
Round 3 | User #77 | HTTP: 200 | Time: 125.59ms
Round 3 | User #78 | HTTP: 200 | Time: 125.74ms
Round 3 | User #79 | HTTP: 200 | Time: 125.92ms
Round 3 | User #80 | HTTP: 200 | Time: 126.08ms
Round 3 | User #81 | HTTP: 200 | Time: 126.22ms
Round 3 | User #82 | HTTP: 200 | Time: 126.43ms
Round 3 | User #83 | HTTP: 200 | Time: 126.62ms
Round 3 | User #84 | HTTP: 200 | Time: 126.76ms
Round 3 | User #85 | HTTP: 200 | Time: 126.9ms
Round 3 | User #86 | HTTP: 200 | Time: 127.04ms
Round 3 | User #87 | HTTP: 200 | Time: 127.18ms
Round 3 | User #88 | HTTP: 200 | Time: 127.31ms
Round 3 | User #89 | HTTP: 200 | Time: 127.45ms
Round 3 | User #90 | HTTP: 200 | Time: 127.65ms
Round 3 | User #91 | HTTP: 200 | Time: 127.86ms
Round 3 | User #92 | HTTP: 200 | Time: 128.04ms
